"","id","dam","sire","absLLRtotal","Fertilization_pairs","loci"
"21","adapter_trim.F2-B15-pH8.bam","adapter_trim.F1-B25-pH8.bam","adapter_trim.F1-B5-pH8.bam",0.84,TRUE,"CM084272_1_2072734.1, CM084269_1_45238254.1, CM084265_1_72078910.0, CM084272_1_36474231.0, CM084271_1_43812187.0, CM084265_1_58530104.0, CM084277_1_29208305.0, CM084275_1_25388576.0, CM084264_1_7131437.1, CM084277_1_18541349.0, CM084274_1_4793084.0, CM084269_1_1549393.1, CM084274_1_4868366.1, CM084265_1_72368293.1, CM084272_1_7002402.0, CM084264_1_73931171.0, CM084278_1_23536960.0, CM084279_1_161176.0, CM084274_1_4867333.0, CM084275_1_39338236.0, CM084274_1_4694494.0, CM084266_1_65576813.1, CM084277_1_29780153.1, CM084267_1_2908966.0, CM084275_1_39776646.1, CM084273_1_31865817.0, CM084265_1_71794444.1, CM084274_1_5566177.1, CM084274_1_34977132.0, CM084265_1_8361584.1"
"22","adapter_trim.F2-B5-pH8.bam","adapter_trim.F1-B25-pH8.bam","adapter_trim.F1-B5-pH8.bam",1.14,TRUE,"CM084269_1_43528607.1, CM084264_1_75506833.0, CM084266_1_69793914.0, CM084264_1_70190068.0, CM084274_1_4694263.1, CM084275_1_19996655.0, CM084267_1_6421475.1, CM084266_1_57885157.1, CM084265_1_68869208.1, CM084275_1_675849.1, CM084278_1_32252684.0, CM084278_1_20600197.1, CM084271_1_19934424.1, CM084267_1_30270830.0, CM084269_1_15823423.1, CM084266_1_52832550.1, CM084271_1_344406.0, CM084278_1_20701460.0, CM084272_1_18193991.0, CM084274_1_4769088.0, CM084273_1_10424351.0, CM084274_1_3691337.0, CM084268_1_28845522.1, CM084275_1_39502454.1, CM084264_1_66522465.0, CM084268_1_24031324.1, CM084265_1_72368299.1, CM084274_1_4795062.1, CM084267_1_51248425.0, CM084266_1_68919260.1"
"23","adapter_trim.F2-B12-pH8.bam","adapter_trim.F1-B15-pH8.bam","adapter_trim.F1-B5-pH8.bam",0.92,FALSE,"CM084278_1_5142968.1, CM084271_1_44190489.0, CM084274_1_4864709.0, CM084274_1_4863965.1, CM084273_1_21179270.1, CM084276_1_38943253.0, CM084269_1_1567129.0, CM084268_1_28845816.0, CM084276_1_38943253.0, CM084276_1_59031.1, CM084271_1_1052235.0, CM084264_1_72118705.0, CM084271_1_344606.1, CM084270_1_15641798.0, CM084267_1_2081904.1, CM084266_1_64164269.0, CM084267_1_727876.1, CM084272_1_2073148.0, CM084269_1_1577711.0, CM084268_1_1508049.0, CM084265_1_61648602.1, CM084269_1_15799434.1, CM084274_1_4789233.0, CM084265_1_71899680.0, CM084264_1_72113815.0, CM084275_1_29098876.0, CM084271_1_1033792.0, CM084268_1_2717677.1, CM084274_1_4788669.0, CM084268_1_50693763.1"
"24","adapter_trim.F2-J123-pH8.bam","adapter_trim.F1-B8-pH8.bam","adapter_trim.F1-B5-pH8.bam",0.98,FALSE,"CM084266_1_69095439.0, CM084264_1_64487818.1, CM084266_1_63167162.0, CM084266_1_62460100.1, CM084267_1_52593751.0, CM084275_1_39780958.1, CM084275_1_39502454.1, CM084275_1_42592955.1, CM084265_1_59220865.1, CM084279_1_1072380.0, CM084275_1_25395465.0, CM084266_1_66483880.1, CM084272_1_18191744.1, CM084272_1_2073150.0, CM084264_1_69303583.0, CM084267_1_700054.0, CM084269_1_42862704.1, CM084275_1_23095308.1, CM084275_1_20000990.0, CM084266_1_70706263.0, CM084266_1_68960407.0, CM084274_1_4694967.1, CM084270_1_4751873.1, CM084276_1_1856653.0, CM084269_1_15809862.0, CM084267_1_2652526.0, CM084270_1_8242343.1, CM084272_1_1584311.1, CM084274_1_4869924.1, CM084265_1_69004214.0"
"25","adapter_trim.F2-J88-pH8.bam","adapter_trim.F1-B20-pH8.bam","adapter_trim.F1-B7-pH8.bam",0.98,FALSE,"CM084274_1_4700811.1, CM084270_1_21846007.1, CM084266_1_64725837.1, CM084271_1_44083010.0, CM084276_1_38285682.1, CM084274_1_4795903.0, CM084274_1_4795058.1, CM084279_1_10156977.0, CM084274_1_4795062.0, CM084265_1_72992174.1, CM084279_1_161458.0, CM084265_1_64733351.1, CM084279_1_1073112.0, CM084264_1_69903182.1, CM084278_1_20625152.1, CM084271_1_37240198.1, CM084275_1_35720350.1, CM084278_1_8558566.1, CM084277_1_30642880.0, CM084268_1_938570.0, CM084266_1_69052083.0, CM084267_1_5165711.1, CM084278_1_20865574.0, CM084265_1_65204740.0, CM084265_1_66141830.0, CM084272_1_1584317.1, CM084274_1_4709650.0, CM084265_1_71825876.0, CM084276_1_20157216.1, CM084265_1_68074592.1"
"26","adapter_trim.F2-B23-pH8.bam","adapter_trim.F1-B20-pH8.bam","adapter_trim.F1-B7-pH8.bam",0.98,FALSE,"CM084267_1_51248425.1, CM084274_1_4773546.1, CM084265_1_66143662.0, CM084271_1_218855.1, CM084278_1_20689091.0, CM084265_1_71800566.1, CM084273_1_268158.1, CM084264_1_69539449.1, CM084266_1_70181820.1, CM084277_1_1858860.0, CM084270_1_12307511.1, CM084267_1_51242797.0, CM084279_1_929045.1, CM084265_1_60215543.1, CM084266_1_65993531.0, CM084265_1_68798214.1, CM084266_1_68960355.1, CM084274_1_4792130.1, CM084266_1_70707608.1, CM084269_1_15809862.0, CM084265_1_58483282.1, CM084266_1_63468235.1, CM084264_1_74273479.1, CM084277_1_10417520.1, CM084279_1_10150672.1, CM084279_1_32640564.0, CM084265_1_64733351.0, CM084268_1_50216537.0, CM084275_1_39776646.0, CM084270_1_4920911.1"
"27","adapter_trim.F2-J143-pH8.bam","adapter_trim.F1-B25-pH8.bam","adapter_trim.F1-B8-pH8.bam",0.72,FALSE,"CM084265_1_794843.0, CM084267_1_52896140.0, CM084264_1_61167140.0, CM084276_1_2874135.0, CM084269_1_35627054.1, CM084275_1_667604.0, CM084272_1_33497675.0, CM084278_1_20734376.0, CM084266_1_68661534.0, CM084269_1_43528587.1, CM084268_1_2713890.0, CM084264_1_70181718.1, CM084273_1_31862787.1, CM084265_1_68074592.1, CM084272_1_1307854.0, CM084264_1_69861955.0, CM084265_1_72074244.1, CM084272_1_36474160.0, CM084266_1_67098131.1, CM084264_1_73291573.0, CM084274_1_4734036.0, CM084268_1_24031433.0, CM084264_1_34293018.1, CM084276_1_38072621.1, CM084265_1_72926026.0, CM084266_1_68319474.0, CM084270_1_9408154.0, CM084264_1_2740163.1, CM084278_1_25832327.1, CM084275_1_524618.1"
"28","adapter_trim.F2-J89-pH8.bam","adapter_trim.F1-B25-pH8.bam","adapter_trim.F1-B8-pH8.bam",0.49,FALSE,"CM084271_1_43868201.0, CM084266_1_68319456.0, CM084275_1_35717364.0, CM084265_1_1816564.0, CM084267_1_13261420.1, CM084265_1_70979988.0, CM084270_1_47077465.1, CM084267_1_11257260.0, CM084274_1_4863872.1, CM084265_1_70800987.1, CM084276_1_1625257.0, CM084266_1_70706238.1, CM084266_1_38532344.1, CM084266_1_57888563.1, CM084270_1_42355508.1, CM084275_1_120888.1, CM084275_1_35719388.0, CM084274_1_21938486.0, CM084267_1_5165677.0, CM084271_1_43546299.0, CM084267_1_51346515.0, CM084275_1_39338236.0, CM084266_1_69141150.1, CM084274_1_3692385.0, CM084265_1_3130640.0, CM084267_1_5165711.1, CM084275_1_77171.1, CM084279_1_10156984.0, CM084271_1_44091708.1, CM084268_1_50216562.0"
"29","adapter_trim.F2-J142-pH8.bam","adapter_trim.F1-B15-pH8.bam","adapter_trim.F1-B9-pH8.bam",0.65,TRUE,"CM084277_1_29782029.1, CM084265_1_58036330.1, CM084264_1_6990362.1, CM084266_1_23295280.0, CM084269_1_43524104.0, CM084268_1_50202339.1, CM084271_1_1033797.0, CM084275_1_35722051.1, CM084271_1_39685141.1, CM084264_1_48147317.0, CM084264_1_73929737.0, CM084275_1_25388529.0, CM084268_1_42009.1, CM084276_1_38072633.1, CM084279_1_1060874.1, CM084276_1_38552504.1, CM084279_1_1073128.0, CM084267_1_2309126.0, CM084270_1_42348999.0, CM084274_1_4709677.1, CM084274_1_5120654.0, CM084268_1_50323442.0, CM084271_1_43868179.0, CM084270_1_8242309.1, CM084267_1_5165711.1, CM084265_1_72071409.0, CM084264_1_70182851.1, CM084279_1_1070763.1, CM084268_1_50739136.1, CM084270_1_32126724.0"
"30","adapter_trim.F2-J147-pH8.bam","adapter_trim.F1-B15-pH8.bam","adapter_trim.F1-B9-pH8.bam",1.2,TRUE,"CM084277_1_30635514.1, CM084277_1_30505537.0, CM084274_1_4863903.1, CM084274_1_4864445.0, CM084278_1_28652016.1, CM084265_1_60316111.1, CM084269_1_46688879.0, CM084276_1_1625423.1, CM084266_1_63195162.1, CM084278_1_20734507.0, CM084271_1_43851366.0, CM084265_1_68074267.0, CM084268_1_50200545.0, CM084271_1_3814148.0, CM084271_1_44069731.0, CM084268_1_24030404.0, CM084265_1_64527973.0, CM084278_1_22657588.0, CM084264_1_71718010.0, CM084274_1_34977105.1, CM084271_1_44105575.0, CM084278_1_8558566.1, CM084265_1_71794141.0, CM084264_1_72054205.0, CM084275_1_38169337.0, CM084267_1_5165671.0, CM084274_1_4727151.0, CM084265_1_8362532.1, CM084274_1_4863726.0, CM084279_1_1892713.0"
