"","id","dam","sire","absLLRtotal","Fertilization_pairs","loci"
"21","adapter_trim.F2-J62-pH75.bam","adapter_trim.F1-B6-pH75.bam","adapter_trim.F1-B14-pH75.bam",0.7,TRUE,"CM084274_1_4869924.1, CM084264_1_75278300.0, CM084267_1_5952857.0, CM084265_1_72368172.1, CM084273_1_31864421.1, CM084278_1_24948349.0, CM084269_1_45420483.0, CM084276_1_38772791.1, CM084270_1_4920911.0, CM084277_1_31296172.0, CM084275_1_667184.1, CM084269_1_12905597.0, CM084274_1_6125439.1, CM084276_1_38772791.0, CM084276_1_771542.0, CM084265_1_19672164.1, CM084273_1_31865409.0, CM084265_1_64586070.1, CM084275_1_35717367.0, CM084266_1_64723799.1, CM084272_1_33453681.0, CM084267_1_52593775.1, CM084267_1_5161043.1, CM084265_1_71925202.0, CM084266_1_68883042.1, CM084277_1_1868699.1, CM084273_1_7839325.1, CM084264_1_73926180.1, CM084269_1_45238132.1, CM084267_1_2908852.0"
"22","adapter_trim.F2-J6-pH75.bam","adapter_trim.F1-B17-pH75.bam","adapter_trim.F1-B20-pH75.bam",0.66,FALSE,"CM084275_1_39502463.1, CM084277_1_29208305.1, CM084269_1_46689554.0, CM084275_1_25393266.0, CM084267_1_591197.1, CM084272_1_1308683.1, CM084272_1_11675265.1, CM084266_1_69314168.1, CM084277_1_10628711.1, CM084278_1_22667324.1, CM084269_1_15806965.0, CM084271_1_43868179.0, CM084274_1_4694263.0, CM084272_1_1327530.0, CM084279_1_31068246.0, CM084278_1_23540735.1, CM084267_1_832157.0, CM084271_1_218835.0, CM084269_1_12905562.1, CM084266_1_64002736.0, CM084270_1_8444534.1, CM084265_1_71820726.1, CM084276_1_37355346.1, CM084270_1_46588177.0, CM084278_1_4074299.1, CM084264_1_72912659.1, CM084264_1_71189798.0, CM084267_1_51248500.1, CM084277_1_30631457.1, CM084265_1_59221301.1"
"23","adapter_trim.F2-J25-pH75.bam","adapter_trim.F1-B6-pH75.bam","adapter_trim.F1-B20-pH75.bam",0.8,FALSE,"CM084271_1_37237146.0, CM084267_1_9176202.0, CM084265_1_1816585.0, CM084268_1_3697521.1, CM084270_1_32126728.1, CM084275_1_25395524.1, CM084271_1_44070313.1, CM084264_1_26777914.1, CM084271_1_30532481.1, CM084265_1_69915221.1, CM084277_1_29208310.1, CM084266_1_65298589.0, CM084278_1_20734376.1, CM084279_1_10150672.0, CM084275_1_4345059.0, CM084274_1_4796079.1, CM084270_1_32126729.1, CM084274_1_4796888.1, CM084268_1_49082756.1, CM084274_1_4695205.1, CM084272_1_33589893.1, CM084264_1_64489814.0, CM084275_1_29098881.0, CM084270_1_8242343.0, CM084264_1_74721251.1, CM084275_1_23095998.1, CM084272_1_18188620.1, CM084278_1_4074311.1, CM084267_1_13261525.1, CM084269_1_12905572.0"
"24","adapter_trim.F2-B11-pH75.bam","adapter_trim.F1-B6-pH75.bam","adapter_trim.F1-B20-pH75.bam",1,FALSE,"CM084272_1_7002402.0, CM084266_1_65347078.1, CM084269_1_4628748.0, CM084279_1_1073112.0, CM084268_1_49721922.0, CM084279_1_31409239.0, CM084264_1_69303583.1, CM084278_1_22665042.0, CM084264_1_69287125.0, CM084271_1_37240198.0, CM084266_1_68643398.1, CM084271_1_379038.1, CM084265_1_70595159.0, CM084269_1_15823117.1, CM084266_1_65401967.0, CM084277_1_30168073.0, CM084269_1_15799397.0, CM084276_1_1500490.0, CM084271_1_19655939.1, CM084266_1_64164372.1, CM084264_1_71721959.0, CM084269_1_39736980.0, CM084264_1_39013.1, CM084278_1_20591128.1, CM084266_1_68919241.0, CM084266_1_69089438.1, CM084271_1_44075863.1, CM084271_1_44190417.1, CM084270_1_42348998.1, CM084269_1_42862803.0"
"25","adapter_trim.F2-B6-pH75.bam","adapter_trim.F1-B16-pH75.bam","adapter_trim.F1-B20-pH75.bam",1.17,TRUE,"CM084276_1_37353147.0, CM084278_1_22667307.1, CM084265_1_64585921.1, CM084279_1_1073381.0, CM084277_1_30629891.1, CM084266_1_50301523.1, CM084278_1_20734376.0, CM084266_1_65993526.1, CM084264_1_68634815.1, CM084275_1_25388559.0, CM084271_1_43868201.1, CM084264_1_72117199.1, CM084268_1_3699708.0, CM084279_1_1196447.1, CM084275_1_25395479.0, CM084270_1_47077551.1, CM084274_1_4709650.1, CM084272_1_33453891.0, CM084267_1_51167077.1, CM084264_1_73152512.0, CM084266_1_70400233.1, CM084264_1_74035920.1, CM084265_1_68798193.1, CM084271_1_43816629.1, CM084271_1_30532477.1, CM084278_1_5144637.0, CM084278_1_281214.1, CM084267_1_52593775.0, CM084275_1_312842.0, CM084276_1_12392697.0"
"26","adapter_trim.F2-J9-pH75.bam","adapter_trim.F1-B16-pH75.bam","adapter_trim.F1-B20-pH75.bam",1.22,TRUE,"CM084268_1_50200456.1, CM084265_1_69230172.1, CM084268_1_18512798.1, CM084273_1_31863792.0, CM084268_1_28845522.1, CM084274_1_4773524.0, CM084267_1_51167077.1, CM084278_1_22657612.1, CM084265_1_71899669.1, CM084275_1_25388546.0, CM084271_1_43851366.0, CM084275_1_39502454.0, CM084264_1_75338719.0, CM084271_1_44104300.1, CM084266_1_23411289.1, CM084279_1_16586120.0, CM084264_1_72011674.0, CM084264_1_65945.1, CM084275_1_327936.0, CM084274_1_4795858.1, CM084274_1_3688102.1, CM084278_1_22657612.1, CM084267_1_2910789.1, CM084266_1_67239927.1, CM084267_1_832141.1, CM084277_1_30168380.1, CM084270_1_39396029.0, CM084268_1_50225017.0, CM084276_1_1856630.1, CM084269_1_46858338.0"
"27","adapter_trim.F2-B1-pH75.bam","adapter_trim.F1-B6-pH75.bam","adapter_trim.F1-B20-pH75.bam",1.37,FALSE,"CM084277_1_18535878.1, CM084264_1_69865995.0, CM084269_1_15817354.0, CM084275_1_20000943.1, CM084271_1_44069731.0, CM084265_1_64733395.1, CM084273_1_42285577.1, CM084274_1_4708749.0, CM084273_1_31862646.1, CM084264_1_72117221.0, CM084264_1_72054047.0, CM084264_1_72912659.1, CM084275_1_319814.0, CM084264_1_65945.0, CM084274_1_4729950.1, CM084264_1_64489814.0, CM084265_1_46089443.1, CM084276_1_38772810.1, CM084268_1_28845439.0, CM084279_1_1062135.0, CM084266_1_57882817.0, CM084276_1_25809512.0, CM084264_1_61227529.1, CM084275_1_661848.1, CM084271_1_337322.1, CM084274_1_4708834.1, CM084268_1_276378.0, CM084269_1_15812965.1, CM084264_1_68688357.1, CM084277_1_10417489.0"
"28","adapter_trim.F2-J10-pH75.bam","adapter_trim.F1-B21-pH75.bam","adapter_trim.F1-B20-pH75.bam",0.58,FALSE,"CM084264_1_72117233.1, CM084276_1_1856932.1, CM084279_1_10150672.0, CM084276_1_38788200.0, CM084275_1_25395465.0, CM084264_1_69534058.0, CM084276_1_38558559.0, CM084264_1_70174663.0, CM084279_1_1062144.1, CM084274_1_4694202.1, CM084271_1_44090335.0, CM084266_1_65576820.1, CM084265_1_60219092.0, CM084264_1_64487824.0, CM084264_1_6151081.0, CM084266_1_67097921.0, CM084269_1_43523893.0, CM084276_1_12392691.0, CM084278_1_20736236.0, CM084269_1_1555101.0, CM084267_1_2908060.1, CM084271_1_287653.1, CM084265_1_61648598.1, CM084271_1_379032.1, CM084275_1_23083657.0, CM084276_1_2857930.1, CM084267_1_4505277.1, CM084275_1_23095265.1, CM084267_1_2426163.1, CM084272_1_33452056.1"
"29","adapter_trim.F2-J49-pH75.bam","adapter_trim.F1-B21-pH75.bam","adapter_trim.F1-B4-pH75.bam",0.83,FALSE,"CM084277_1_30629891.0, CM084265_1_59221322.1, CM084274_1_4793160.1, CM084265_1_71792056.1, CM084268_1_50225492.1, CM084265_1_72368245.1, CM084266_1_64164372.1, CM084265_1_59221275.1, CM084269_1_39737147.0, CM084270_1_35204451.1, CM084278_1_20858397.0, CM084266_1_25399242.0, CM084264_1_72118705.0, CM084279_1_32973101.1, CM084277_1_18535878.1, CM084277_1_10417524.0, CM084278_1_16774020.1, CM084265_1_73060616.0, CM084271_1_11500090.0, CM084277_1_30026693.0, CM084276_1_7202997.0, CM084271_1_3823416.1, CM084272_1_33603798.0, CM084276_1_38772790.0, CM084265_1_70589360.1, CM084273_1_42252907.1, CM084272_1_33616442.1, CM084265_1_72992173.1, CM084266_1_63468235.0, CM084273_1_31862762.0"
"30","adapter_trim.F2-B10-pH75.bam","adapter_trim.F1-B6-pH75.bam","adapter_trim.F1-B4-pH75.bam",1.08,TRUE,"CM084274_1_4694522.0, CM084275_1_39338236.1, CM084266_1_70181797.0, CM084267_1_13229742.1, CM084271_1_44104716.1, CM084266_1_69052082.0, CM084277_1_10628425.1, CM084267_1_9175848.1, CM084275_1_36064332.1, CM084266_1_68661534.0, CM084266_1_59802398.0, CM084269_1_1567133.0, CM084276_1_714435.0, CM084277_1_36521583.1, CM084275_1_23095998.1, CM084266_1_65401967.0, CM084265_1_64527991.0, CM084267_1_2309126.1, CM084267_1_5165677.1, CM084265_1_66141859.0, CM084279_1_10156951.0, CM084264_1_6151084.1, CM084274_1_4867255.0, CM084274_1_3691337.0, CM084265_1_60313980.1, CM084267_1_2908982.1, CM084271_1_3819803.1, CM084269_1_40438751.1, CM084272_1_33462360.0, CM084264_1_8098050.1"
